,Code,First_name,Last_name,Team,Nation,Position,Rating
137,mitchwi01,Willie,Mitchell,FLA,CA,D,0.7472178411648204
138,moentr01,Travis,Moen,DAL,CA,LW,0.6709713609494667
139,mooredo01,Dominic,Moore,TOR,CA,C,0.7540085296157124
140,moulsma01,Matt,Moulson,BUF,CA,LW,0.6771948750679975
141,nashri01,Rick,Nash,TOT,CA,LW,0.8164247671908343
142,neilch01,Chris,Neil,OTT,CA,RW,0.6880434532857111
143,nielsfr01,Frans,Nielsen,DET,DK,C,0.8233284716597034
144,niskama01,Matt,Niskanen,WSH,US,D,0.8506869880831975
145,nystrer01,Eric,Nystrom,NSH,US,LW,0.7561761409909855
146,oduyajo01,Johnny,Oduya,TOT,SE,D,0.7582775698125584
147,okposky01,Kyle,Okposo,BUF,US,RW,0.852326617383459
148,orpikbr01,Brooks,Orpik,WSH,US,D,0.7690686606439769
149,ottst01,Steve,Ott,TOT,CA,C,0.7161817675273935
150,ovechal01,Alex,Ovechkin,WSH,RU,LW,0.9131041541494596
151,paillda01,Daniel,Paille,NYR,CA,LW,0.6268689553143973
152,parisza01,Zach,Parise,MIN,US,LW,0.8517345458670396
153,paveljo01,Joe,Pavelski,SJS,US,C,0.9086898522280799
154,perroda01,David,Perron,VEG,CA,LW,0.8768736462025365
155,perryco01,Corey,Perry,ANA,CA,RW,0.8595044597553815
156,phanedi01,Dion,Phaneuf,TOT,CA,D,0.813767080056036
157,plekato01,Tomas,Plekanec,TOT,CS,C,0.8218705313433806
158,polakro01,Roman,Polak,TOR,CS,D,0.7819629547914502
159,pominja01,Jason,Pominville,BUF,CA,RW,0.8078254781055723
160,poulibe01,Benoit,Pouliot,BUF,CA,LW,0.7495541740940691
161,purcete01,Teddy,Purcell,LAK,CA,RW,0.7338207614909809
162,quincky01,Kyle,Quincey,MIN,CA,D,0.7342911043596712
163,radulal01,Alexander,Radulov,DAL,RU,RW,0.8868319697838938
164,raymoma01,Mason,Raymond,CGY,CA,LW,0.681322676399651
165,ribeimi01,Mike,Ribeiro,NSH,CA,C,0.7804462527436515
166,richabr01,Brad,Richards,DET,CA,C,0.7802178176355399
167,richami02,Mike,Richards,WSH,CA,C,0.7311600608875459
168,richabr02,Brad,Richardson,ARI,CA,C,0.7869279509981467
169,rozsimi01,Michal,Rozsival,CHI,CS,D,0.7414025627457119
170,russekr01,Kris,Russell,EDM,CA,D,0.7960134159934386
171,ruututu01,Tuomo,Ruutu,NJD,FI,C,0.6734459727746328
