First_name,Last_name,Team,Nation,Position,Year,Gms,Rating
Kyle,Turris,NSH,CA,C,2019,55,0.763608218
Jay,Bouwmeester,STL,CA,D,2019,78,0.763436002
Connor,Brown,TOR,CA,RW,2019,82,0.763334868
Brad,Hunt,TOT,CA,D,2019,42,0.762930361
Chris,Tanev,VAN,CA,D,2019,55,0.762822921
Chris,Butler,STL,US,D,2019,13,0.762810092
Anthony,Beauvillier,NYI,CA,LW,2019,81,0.762647632
Mattias,Janmark,DAL,SE,C,2019,81,0.762426429
Derek,Grant,TOT,CA,C,2019,56,0.762068039
Patrik,Nemeth,COL,SE,D,2019,74,0.76185244
Alexander,Wennberg,CBJ,SE,C,2019,75,0.761746537
Troy,Brouwer,FLA,CA,RW,2019,75,0.761738167
Kyle,Okposo,BUF,US,RW,2019,78,0.761585175
Tim,Heed,SJS,SE,D,2019,37,0.761460095
Tyson,Jost,COL,CA,C,2019,70,0.76116499
Drake,Batherson,OTT,US,C,2019,20,0.761136644
Jason,Demers,ARI,CA,D,2019,35,0.760340624
Nikolay,Goldobin,VAN,RU,LW,2019,63,0.760148287
Josh,Leivo,TOT,CA,LW,2019,76,0.760131601
Markus,Nutivaara,CBJ,FI,D,2019,80,0.759267032
Anthony,Duclair,TOT,CA,LW,2019,74,0.758573137
Bogdan,Kiselevich,FLA,RU,D,2019,32,0.758337496
Peter,Cehlarik,BOS,SK,LW,2019,20,0.758303999
Robert,Bortuzzo,STL,CA,D,2019,59,0.758303099
Patrik,Berglund,BUF,SE,C,2019,23,0.758244303
Trevor,Moore,TOR,US,LW,2019,25,0.757548869
Pierre-Edouard,Bellemare,VEG,FR,LW,2019,76,0.757230585
Cedric,Paquette,TBL,CA,C,2019,80,0.757049322
Markus,Granlund,VAN,FI,C,2019,77,0.756901429
Austin,Wagner,LAK,CA,LW,2019,62,0.756327423
Garrett,Wilson,PIT,CA,LW,2019,50,0.756264163
Roman,Polak,DAL,CS,D,2019,77,0.756012524
David,Schlemko,MTL,CA,D,2019,18,0.755892161
Barclay,Goodrow,SJS,CA,RW,2019,82,0.755881664
Brendan,Leipsic,TOT,CA,LW,2019,62,0.755834664
Jujhar,Khaira,EDM,CA,LW,2019,60,0.754824478
Troy,Terry,ANA,US,C,2019,32,0.754547536
Taylor,Fedun,DAL,CA,D,2019,54,0.754440578
Jason,Spezza,DAL,CA,C,2019,76,0.75425796
Rudolfs,Balcers,OTT,LV,LW,2019,36,0.754104929
Alan,Quine,CGY,CA,C,2019,13,0.753521769
Dmitrij,Jaskin,WSH,RU,RW,2019,37,0.753456944
Brooks,Orpik,WSH,US,D,2019,53,0.753029677
Denis,Malgin,FLA,CH,C,2019,50,0.752962894
Garnet,Hathaway,CGY,US,RW,2019,76,0.75235844
Lawrence,Pilut,BUF,SE,D,2019,33,0.752293948
Jayce,Hawryluk,FLA,CA,C,2019,42,0.752259927
Nathan,Beaulieu,TOT,CA,D,2019,48,0.752021508
Derick,Brassard,TOT,CA,C,2019,70,0.751720743
Justin,Abdelkader,DET,US,LW,2019,71,0.751145086
John,Moore,BOS,US,D,2019,61,0.750514765
Mark,Pysyk,FLA,CA,D,2019,70,0.749971262
Kevin,Connauton,ARI,CA,D,2019,50,0.749217017
Darren,Helm,DET,CA,C,2019,61,0.748971785
Eric,Fehr,MIN,CA,RW,2019,72,0.748951332
Xavier,Ouellet,MTL,FR,D,2019,19,0.748786458
Christian,Folin,TOT,SE,D,2019,45,0.748515566
Andrew,Cogliano,TOT,CA,LW,2019,78,0.748195849
Jean-Sebastien,Dea,TOT,CA,C,2019,23,0.747967926
Corey,Perry,ANA,CA,RW,2019,31,0.747563395
Greg,Pateryn,MIN,US,D,2019,80,0.747438607
Tyler,Motte,VAN,US,C,2019,74,0.747249714
Jordan,Greenway,MIN,US,LW,2019,81,0.746789613
Daniel,Sprong,TOT,NL,RW,2019,63,0.746618455
Victor,Mete,MTL,CA,D,2019,71,0.74661144
Jay,Beagle,VAN,CA,RW,2019,57,0.7465659
Jack,Johnson,PIT,US,D,2019,82,0.746361412
Riley,Sheahan,TOT,CA,C,2019,82,0.746263891
Matt,Cullen,PIT,US,C,2019,71,0.745997296
Matt,Benning,EDM,CA,D,2019,70,0.745909501
Connor,Clifton,BOS,US,D,2019,19,0.745668814
Dean,Kukan,CBJ,CH,D,2019,25,0.745533784
Josh,Currie,EDM,CA,RW,2019,21,0.745341134
Slater,Koekkoek,TOT,CA,D,2019,31,0.744771302
Travis,Boyd,WSH,US,C,2019,53,0.74449645
Mark,Borowiecki,OTT,CA,D,2019,53,0.744383992
Ross,Johnston,NYI,CA,LW,2019,17,0.744201626
Rocco,Grimaldi,NSH,US,C,2019,53,0.744008737
Trevor,van Riemsdyk,CAR,US,D,2019,78,0.743848906
Brett,Howden,NYR,CA,C,2019,66,0.743651775
Andre,Burakovsky,WSH,AT,LW,2019,76,0.743476521
Derek,Forbort,LAK,US,D,2019,81,0.742751997
Henrik,Borgstrom,FLA,FI,C,2019,50,0.742204561
Kevin,Rooney,NJD,US,C,2019,41,0.741178144
Michael,Raffl,PHI,AT,LW,2019,67,0.741034417
Jonas,Siegenthaler,WSH,CH,D,2019,26,0.740839637
Rasmus,Andersson,CGY,SE,D,2019,79,0.740665296
Dale,Weise,TOT,CA,RW,2019,51,0.740624409
Ben,Lovejoy,TOT,US,D,2019,71,0.740391318
Derrick,Pouliot,VAN,CA,D,2019,62,0.740223709
Andrew,MacDonald,PHI,CA,D,2019,47,0.739901838
Mike,Reilly,MTL,US,D,2019,57,0.739713775
Jan,Rutta,TOT,CS,D,2019,37,0.739293734
Tim,Schaller,VAN,US,LW,2019,47,0.739115642
Alexandre,Fortin,CHI,CA,LW,2019,24,0.739111737
Riley,Nash,CBJ,CA,C,2019,78,0.737702147
Christian,Fischer,ARI,US,RW,2019,71,0.737415672
Michael,Rasmussen,DET,CA,C,2019,62,0.73706715
Adam,McQuaid,TOT,CA,D,2019,50,0.736996404
James,Neal,CGY,CA,LW,2019,63,0.736842367
Par,Lindholm,TOT,SE,C,2019,65,0.736682564
Dennis,Cholowski,DET,CA,D,2019,52,0.736141941
Antti,Suomela,SJS,FI,C,2019,27,0.735714518
Michael,Dal Colle,NYI,CA,LW,2019,28,0.735351515
Dylan,Sikura,CHI,CA,C,2019,33,0.735192276
Chad,Ruhwedel,PIT,US,D,2019,18,0.735024166
Matt,Irwin,NSH,CA,D,2019,44,0.733975912
Ryan,Graves,COL,CA,D,2019,26,0.733631972
Sven,Andrighetto,COL,CH,RW,2019,64,0.73349706
Paul,Ladue,LAK,US,D,2019,33,0.733037734
Steven,Kampfer,BOS,US,D,2019,35,0.732891042
Jack,Roslovic,WPG,US,C,2019,77,0.732636294
Warren,Foegele,CAR,CA,LW,2019,77,0.732303625
Scott,Harrington,CBJ,CA,D,2019,73,0.7321499
Brandon,Sutter,VAN,US,C,2019,26,0.731841062
Magnus,Paajarvi,OTT,SE,LW,2019,80,0.731822276
Thomas,Hickey,NYI,CA,D,2019,40,0.731724748
Greg,McKegg,CAR,CA,C,2019,41,0.73158353
Chris,Wideman,TOT,US,D,2019,25,0.73141371
Maxime,Lajoie,OTT,CA,D,2019,56,0.731362665
Brendan,Smith,NYR,CA,D,2019,63,0.731332182
Filip,Chytil,NYR,CZ,C,2019,75,0.731166274
Marc,Staal,NYR,CA,D,2019,79,0.731135666
Joey,Anderson,NJD,US,RW,2019,34,0.730821917
Michael,Amadio,LAK,CA,C,2019,43,0.730788727
Casey,Nelson,BUF,US,D,2019,38,0.730654334
Fredrik,Claesson,NYR,SE,D,2019,37,0.730300249
Andrej,Sekera,EDM,CS,D,2019,24,0.730105522
Martin,Marincin,TOR,CS,D,2019,24,0.729711862
Colby,Cave,TOT,CA,C,2019,53,0.729542452
Stefan,Noesen,NJD,US,RW,2019,41,0.7292883
Erik,Gudbranson,TOT,CA,D,2019,76,0.729157189
Carl,Dahlstrom,CHI,SE,D,2019,38,0.728146311
Markus,Hannikainen,CBJ,FI,LW,2019,44,0.727731878
Chris,Kunitz,CHI,CA,LW,2019,56,0.727624607
Mason,Appleton,WPG,US,C,2019,36,0.727569569
J.T.,Brown,MIN,US,RW,2019,56,0.727179722
Juuso,Riikola,PIT,FI,D,2019,37,0.727155947
Frederik,Gauthier,TOR,CA,C,2019,70,0.727093804
Marcus,Kruger,CHI,SE,C,2019,74,0.727029979
Connor,Brickley,NYR,US,C,2019,14,0.725558861
Andreas,Martinsen,CHI,NO,LW,2019,24,0.725470144
Egor,Yakovlev,NJD,RU,D,2019,25,0.725315979
Mario,Kempe,ARI,SE,C,2019,52,0.725272297
Ilya,Lyubushkin,ARI,RU,D,2019,41,0.724817751
Scott,Wilson,BUF,CA,C,2019,15,0.723686707
Brendan,Perlini,TOT,GB,LW,2019,68,0.723597931
Lukas,Sedlak,CBJ,CZ,C,2019,47,0.723568888
Brendan,Lemieux,TOT,US,LW,2019,63,0.722811468
Jakob,Forsbacka Karlsson,BOS,SE,C,2019,28,0.722803443
Joakim,Nordstrom,BOS,SE,C,2019,70,0.722524262
Marco,Scandella,BUF,CA,D,2019,63,0.722287836
Nate,Thompson,TOT,US,C,2019,78,0.722262352
Tom,Kuhnhackl,NYI,DE,RW,2019,36,0.722029965
Melker,Karlsson,SJS,SE,C,2019,79,0.721271053
Boo,Nieves,NYR,US,C,2019,43,0.721228907
Alexander,Nylander,BUF,CA,LW,2019,12,0.720506376
Igor,Ozhiganov,TOR,RU,D,2019,53,0.719562215
Michael,Chaput,MTL,CA,C,2019,32,0.718972679
Kiefer,Sherwood,ANA,US,RW,2019,50,0.71834276
Ryan,Kesler,ANA,US,C,2019,60,0.718252704
Sammy,Blais,STL,CA,LW,2019,32,0.717124267
Joakim,Ryan,SJS,US,D,2019,44,0.716845283
Valeri,Nichushkin,DAL,RU,RW,2019,57,0.716325974
Matt,Luff,LAK,CA,RW,2019,33,0.716084923
Christian,Jaros,OTT,SK,D,2019,61,0.714394121
Saku,Maenalanen,CAR,FI,RW,2019,34,0.714191854
Madison,Bowey,TOT,CA,D,2019,50,0.714152532
Josh,Mahura,ANA,CA,D,2019,17,0.713834503
Jacob,Larsson,ANA,SE,D,2019,49,0.711657526
Jaycob,Megna,ANA,US,D,2019,28,0.71095575
C.J.,Smith,BUF,US,LW,2019,11,0.710801169
Jonny,Brodzinski,LAK,US,C,2019,13,0.710764298
Haydn,Fleury,CAR,CA,D,2019,20,0.710354593
Gustav,Forsling,CHI,SE,D,2019,43,0.709908527
Yannick,Weber,NSH,CH,D,2019,62,0.709228873
Justin,Dowling,DAL,CA,C,2019,11,0.708958277
Kyle,Brodziak,EDM,CA,C,2019,70,0.708717343
Ty,Rattie,EDM,CA,RW,2019,50,0.708246228
Joel,Hanley,DAL,CA,D,2019,16,0.70819894
Brian,Gibbons,TOT,US,C,2019,64,0.707569139
Max,Jones,ANA,US,LW,2019,30,0.707238289
Drew,Stafford,NJD,US,RW,2019,57,0.707058624
Juho,Lammikko,FLA,FI,RW,2019,40,0.706394837
Valentin,Zykov,TOT,RU,LW,2019,28,0.706140961
Vladimir,Sobotka,BUF,CS,C,2019,69,0.70539283
Matthew,Peca,MTL,CA,C,2019,39,0.704819345
Ashton,Sautner,VAN,CA,D,2019,17,0.704498087
Phillip,Di Giuseppe,TOT,CA,LW,2019,24,0.70403245
Mackenzie,MacEachern,STL,US,LW,2019,29,0.70318163
Dmitry,Kulikov,WPG,RU,D,2019,57,0.70307635
Frederick,Gaudreau,NSH,CA,C,2019,55,0.703029911
Nick,Seeler,MIN,US,D,2019,71,0.702751977
Tobias,Rieder,EDM,DE,C,2019,67,0.702283073
Kailer,Yamamoto,EDM,US,RW,2019,17,0.701734609
Jeremy,Lauzon,BOS,CA,D,2019,16,0.701398205
Christian,Djoos,WSH,SE,D,2019,45,0.701135636
Steven,Santini,NJD,US,D,2019,39,0.700691121
Oscar,Fantenberg,TOT,SE,D,2019,61,0.699992824
Dion,Phaneuf,LAK,CA,D,2019,67,0.69944489
Casey,Mittelstadt,BUF,US,C,2019,77,0.699036066
Kevin,Gravel,EDM,US,D,2019,36,0.698944405
Max,Veronneau,OTT,CA,RW,2019,12,0.698182723
Nicolas,Deslauriers,MTL,CA,LW,2019,48,0.698083183
Juuso,Valimaki,CGY,FI,D,2019,24,0.697535402
Luke,Schenn,TOT,CA,D,2019,26,0.697040207
Dan,Hamhuis,NSH,CA,D,2019,57,0.697007936
Micheal,Haley,TOT,CA,C,2019,43,0.696946254
Robby,Fabbri,STL,CA,C,2019,32,0.696609292
Oliver,Kylington,CGY,SE,D,2019,38,0.696553261
Andrew,Agozzino,COL,CA,LW,2019,11,0.696539743
Zac,Rinaldo,NSH,CA,C,2019,23,0.695989791
Dalton,Prout,CGY,CA,D,2019,20,0.695433161
Charles,Hudon,MTL,CA,LW,2019,32,0.694988598
Brett,Seney,NJD,CA,LW,2019,51,0.694479975
Andy,Welinski,ANA,US,D,2019,26,0.6941353
Alexander,Petrovic,TOT,CA,D,2019,35,0.693878113
Jesse,Puljujarvi,EDM,SE,RW,2019,46,0.693584423
Brandon,Manning,TOT,CA,D,2019,39,0.693111863
Trevor,Daley,DET,CA,D,2019,44,0.692995268
Matt,Hendricks,TOT,US,C,2019,26,0.692481107
Devante,Smith-Pelly,WSH,CA,RW,2019,54,0.692046118
Julius,Honka,DAL,FI,D,2019,29,0.691719991
Zach,Trotman,PIT,US,D,2019,13,0.691064045
Nate,Prosser,MIN,US,D,2019,15,0.690829412
Tage,Thompson,BUF,US,C,2019,65,0.689242011
Clark,Bishop,CAR,CA,C,2019,20,0.687888444
Josh,Brown,FLA,CA,D,2019,37,0.687830994
Jonathan,Ericsson,DET,SE,D,2019,52,0.687697769
Sheldon,Dries,COL,US,C,2019,40,0.686832983
Matt,Read,MIN,CA,RW,2019,12,0.686523992
Jori,Lehtera,PHI,FI,C,2019,27,0.685634243
Brett,Ritchie,DAL,CA,RW,2019,53,0.685153415
Joel,L'Esperance,DAL,US,RW,2019,18,0.684176164
Joseph,Morrow,WPG,CA,D,2019,41,0.684040843
Kurtis,Gabriel,NJD,CA,RW,2019,22,0.683392083
Chandler,Stephenson,WSH,CA,C,2019,64,0.682819283
Ben,Harpur,OTT,CA,D,2019,51,0.681590575
Christoffer,Ehn,DET,SE,C,2019,60,0.680979069
Denis,Gurianov,DAL,RU,RW,2019,21,0.680489749
A.J.,Greer,COL,CA,LW,2019,15,0.679480964
Gabriel,Bourque,COL,CA,LW,2019,55,0.67852273
Ian,McCoshen,FLA,US,D,2019,19,0.678327523
Kurtis,MacDermid,LAK,CA,D,2019,11,0.678085208
Dillon,Dube,CGY,CA,C,2019,25,0.677121111
Victor,Rask,TOT,SE,C,2019,49,0.675825583
Anthony,Bitetto,TOT,US,D,2019,36,0.675385062
Joseph,Gambardella,EDM,US,C,2019,15,0.674566752
Matt,Hunwick,BUF,US,D,2019,14,0.674313565
Adam,Gaudette,VAN,US,C,2019,56,0.672957422
Ben,Street,ANA,CA,C,2019,21,0.672875247
Jacob,de La Rose,DET,SE,LW,2019,60,0.672797602
Vladislav,Kamenev,COL,RU,LW,2019,23,0.67092552
Michael,McLeod,NJD,CA,C,2019,21,0.670708746
Nick,Paul,OTT,CA,LW,2019,20,0.670230373
Lias,Andersson,NYR,SE,C,2019,42,0.670195203
John,Hayden,CHI,US,C,2019,54,0.670079885
Vinni,Lettieri,NYR,US,C,2019,27,0.669407946
Eric,Robinson,CBJ,US,LW,2019,13,0.66899242
Rourke,Chartier,SJS,CA,C,2019,13,0.668526201
Anders,Bjork,BOS,US,LW,2019,20,0.666550839
Corban,Knight,PHI,CA,C,2019,23,0.664496826
Ryan,Spooner,TOT,CA,C,2019,52,0.663981598
Philippe,Myers,PHI,CA,D,2019,21,0.663508502
Nic,Petan,TOT,CA,C,2019,18,0.662871743
Sami,Niku,WPG,FI,D,2019,30,0.661356493
Phil,Varone,PHI,CA,C,2019,47,0.660749889
Jason,Garrison,EDM,CA,D,2019,17,0.657608605
Gemel,Smith,TOT,CA,C,2019,17,0.65759743
Darren,Archibald,TOT,CA,RW,2019,12,0.657497923
Martin,Frk,DET,CZ,RW,2019,30,0.65304685
Brad,Malone,EDM,CA,C,2019,16,0.652861862
Joe,Hicketts,DET,CA,D,2019,11,0.647892143
Jordan,Kyrou,STL,CA,C,2019,16,0.647381178
Jake,Dotchin,ANA,CA,D,2019,20,0.64707269
John,Quenneville,NJD,CA,C,2019,19,0.645810869
Luke,Johnson,CHI,US,C,2019,15,0.645800772
Blake,Pietila,NJD,US,LW,2019,19,0.642731556
Isac,Lundestrom,ANA,SE,C,2019,15,0.641916479
Justin,Holl,TOR,US,D,2019,11,0.640077547
Jordan,Schmaltz,STL,US,D,2019,20,0.638623048
Luke,Witkowski,DET,US,D,2019,34,0.638448669
Mark,Barberio,COL,CA,D,2019,12,0.637847986
Remi,Elie,BUF,CA,LW,2019,16,0.636037503
Justin,Bailey,PHI,US,RW,2019,11,0.631641577
Wade,Megan,DET,US,C,2019,11,0.631438901
Mikhail,Vorobyev,PHI,RU,C,2019,15,0.624696966
Cody,McLeod,TOT,CA,LW,2019,38,0.623762939
Trent,Frederic,BOS,US,C,2019,15,0.622758445
Max,McCormick,OTT,US,LW,2019,14,0.614569529
Tom,Pyatt,OTT,CA,C,2019,37,0.612087139
Nick,Lappin,NJD,US,RW,2019,11,0.593655814
