,Code,First_name,Last_name,Team,Nation,Position,Rating
171,cramajo01,Joseph,Cramarossa,TOT,CA,C,0.6774189903920578
172,crosbsi01,Sidney,Crosby,PIT,CA,C,0.9345863024538088
173,crousla01,Lawson,Crouse,ARI,CA,LW,0.6993782255609915
174,cullema01,Matt,Cullen,MIN,US,C,0.755604213443285
175,czarnau01,Austin,Czarnik,BOS,US,C,0.7465969194799258
176,dadonev01,Evgeni,Dadonov,FLA,RU,RW,0.910469757767491
177,dahlbkl01,Klas,Dahlbeck,CAR,SE,D,0.7056556758668701
178,dahlsca01,Carl,Dahlstrom,CHI,SE,D,0.7644424073342716
179,daleytr01,Trevor,Daley,DET,CA,D,0.7709763169391478
180,dalpeza01,Zac,Dalpe,CBJ,CA,RW,0.6160096244367606
181,danauph01,Phillip,Danault,MTL,CA,LW,0.8229290517059575
182,danoma01,Marko,Dano,WPG,AT,C,0.7273678484560604
183,datsypa01,Pavel,Datsyuk,DET,RU,C,0.897496148288458
184,dauphla01,Laurent,Dauphin,ARI,CA,C,0.6988709150378288
185,davidbr01,Brandon,Davidson,TOT,CA,D,0.7389188047451521
186,deangan01,Anthony,DeAngelo,NYR,US,D,0.727878493110014
187,debrial01,Alex,DeBrincat,CHI,US,RW,0.8374423164404974
188,debruja01,Jake,Debrusk,BOS,CA,LW,0.8293785151141737
189,dehaaca01,Calvin,de Haan,NYI,CA,D,0.810598969851061
190,dekeyda01,Danny,DeKeyser,DET,US,D,0.7677040953811316
191,delarja01,Jacob,de La Rose,MTL,SE,LW,0.7028163700212855
192,delzomi01,Michael,Del Zotto,VAN,CA,D,0.8027429484021453
193,demeldy01,Dylan,DeMelo,SJS,CA,D,0.7664639117376716
194,demerja01,Jason,Demers,ARI,CA,D,0.8063391632866725
195,dermotr01,Travis,Dermott,TOR,CA,D,0.8035804908208465
196,deshada01,David,Desharnais,NYR,CA,C,0.7499610111211167
197,desjaan01,Andrew,Desjardins,CHI,CA,C,0.7117601243830172
198,deslani01,Nicolas,Deslauriers,MTL,CA,LW,0.7116118812743104
199,desprsi01,Simon,Despres,ANA,CA,D,0.758279903774481
200,dickija01,Jason,Dickinson,DAL,CA,C,0.6462378179430694
201,didomch01,Christopher,Didomenico,OTT,CA,C,0.7847157461549944
202,dietzda01,Darren,Dietz,MTL,CA,D,0.8066221320611027
203,digiuph01,Phillip,Di Giuseppe,CAR,CA,LW,0.7652024546901736
204,dillobr01,Brenden,Dillon,SJS,CA,D,0.7660699973471262
205,djoosch01,Christian,Djoos,WSH,SE,D,0.7265766325271826
206,doansh01,Shane,Doan,ARI,CA,RW,0.8039178637890517
207,domima01,Max,Domi,ARI,CA,LW,0.813644540215849
208,donatry01,Ryan,Donato,BOS,US,C,0.8632631375133811
209,donskjo01,Joonas,Donskoi,SJS,FI,RW,0.8071021136788951
210,dorsede01,Derek,Dorsett,VAN,CA,RW,0.7871765190570779
211,dotchja01,Jake,Dotchin,TBL,CA,D,0.7804338980309771
212,doughdr01,Drew,Doughty,LAK,CA,D,0.9027888738080052
213,dowdni01,Nic,Dowd,TOT,US,C,0.729902781077556
214,downist01,Steve,Downie,ARI,CA,RW,0.7161190410666157
215,draisle01,Leon,Draisaitl,EDM,DE,C,0.9010378557094897
216,drouijo01,Jonathan,Drouin,MTL,CA,LW,0.8261675422710606
217,dubinbr01,Brandon,Dubinsky,CBJ,US,C,0.8280350962115564
218,duboipi01,Pierre-Luc,Dubois,CBJ,CA,LW,0.8430729732489072
219,duchema01,Matt,Duchene,TOT,CA,C,0.858594215093204
220,duclaan01,Anthony,Duclair,TOT,CA,LW,0.7621757116287032
221,dumbama01,Mathew,Dumba,MIN,CA,D,0.8351396021732433
222,dumonga01,Gabriel,Dumont,TOT,CA,C,0.6930971641886073
223,dumoubr01,Brian,Dumoulin,PIT,US,D,0.7804058122550976
224,dunnvi02,Vince,Dunn,STL,CA,D,0.765088205219548
225,dupuipa01,Pascal,Dupuis,PIT,CA,LW,0.7167688403787876
226,dvorach01,Christian,Dvorak,ARI,US,C,0.7940158448138404
227,dzingry01,Ryan,Dzingel,OTT,US,C,0.7875342208642055
228,dziurda01,David,Dziurzynski,OTT,Other,LW,0.7323889209395608
229,eakinco01,Cody,Eakin,VEG,CA,C,0.7602784886304149
230,eavespa01,Patrick,Eaves,TOT,CA,RW,0.8301456216185963
231,eberljo01,Jordan,Eberle,NYI,CA,RW,0.8621844800376589
232,edleral01,Alexander,Edler,VAN,SE,D,0.8381934479400923
233,edmunjo01,Joel,Edmundson,STL,CA,D,0.773202278331169
234,ehlerni01,Nikolaj,Ehlers,WPG,DK,LW,0.8576010560781305
235,ehrhoch01,Christian,Ehrhoff,TOT,DE,D,0.7348795315967459
236,eicheja01,Jack,Eichel,BUF,US,C,0.8864422171882556
237,ekblaaa01,Aaron,Ekblad,FLA,CA,D,0.8148176032462495
238,ekholma01,Mattias,Ekholm,NSH,SE,D,0.8344687741226089
239,ekmanol01,Oliver,Ekman-Larsson,ARI,SE,D,0.8613590563658156
240,eliaspa01,Patrik,Elias,NJD,CS,LW,0.8043679624358337
241,eliere01,Remi,Elie,DAL,CA,LW,0.7482352764822122
242,ellerla01,Lars,Eller,WSH,DK,C,0.7857515243447818
243,elliost01,Stefan,Elliott,TOT,CA,D,0.7301286781658762
244,ellisry01,Ryan,Ellis,NSH,CA,D,0.8758993410985921
245,emelial01,Alexei,Emelin,NSH,RU,D,0.7515721989519414
246,engelde01,Deryk,Engelland,VEG,CA,D,0.7663406906809921
247,ennisty01,Tyler,Ennis,MIN,CA,C,0.7557452938666266
248,enstrto01,Toby,Enstrom,WPG,SE,D,0.7446435179730317
249,ericsjo01,Jonathan,Ericsson,DET,SE,D,0.7506698008045389
250,eriksjo02,Joel,Eriksson Ek,MIN,SE,C,0.7475685977211147
251,erikslo01,Loui,Eriksson,VAN,SE,LW,0.8162929423760461
252,ernead01,Adam,Erne,TBL,US,LW,0.715737458980003
253,etemem01,Emerson,Etem,TOT,US,RW,0.7447345955984581
254,everbde01,Dennis,Everberg,COL,SE,RW,0.6024800794879822
255,fabbrro01,Robby,Fabbri,STL,CA,C,0.8166883664146956
256,faksara01,Radek,Faksa,DAL,CZ,C,0.8162372208855435
257,falkju01,Justin,Falk,BUF,CA,D,0.7137995258793948
258,fanteos01,Oscar,Fantenberg,LAK,SE,D,0.7592087115996426
