,Code,First_name,Last_name,Team,Nation,Position,Rating
120,lilesjo01,John-Michael,Liles,BOS,US,D,0.7506424162063738
121,littlbr01,Bryan,Little,WPG,CA,RW,0.8544812474490022
122,lucicmi01,Milan,Lucic,EDM,CA,LW,0.8417772894811932
123,lupuljo01,Joffrey,Lupul,TOR,CA,LW,0.7503130593478846
124,mackede01,Derek,MacKenzie,FLA,CA,C,0.7276553656090985
125,malkiev01,Evgeni,Malkin,PIT,RU,C,0.9236362292474024
126,markoan01,Andrei,Markov,MTL,RU,D,0.8596593802033574
127,marlepa01,Patrick,Marleau,TOR,CA,C,0.8390314731895242
128,martipa01,Paul,Martin,SJS,US,D,0.7646403459878951
129,matthsh01,Shawn,Matthias,WPG,CA,C,0.7186302729726886
130,mccleja01,Jay,McClement,CAR,CA,C,0.6860472407176106
131,mcleoco01,Cody,McLeod,TOT,CA,LW,0.6584884039234722
132,methoma01,Marc,Methot,DAL,CA,D,0.745707199946612
133,michami01,Milan,Michalek,TOT,CS,RW,0.7837616634173643
134,michazb01,Zbynek,Michalek,ARI,CS,D,0.7002055464750317
135,milledr01,Drew,Miller,DET,US,LW,0.6799054670284228
136,mitchto01,Torrey,Mitchell,TOT,CA,C,0.7341021125379976
137,mitchwi01,Willie,Mitchell,FLA,CA,D,0.7272137162879608
138,moentr01,Travis,Moen,DAL,CA,LW,0.6540847966142446
139,mooredo01,Dominic,Moore,TOR,CA,C,0.7405441424153778
140,moulsma01,Matt,Moulson,BUF,CA,LW,0.6729170733225306
141,nashri01,Rick,Nash,TOT,CA,LW,0.8108455426154431
142,neilch01,Chris,Neil,OTT,CA,RW,0.6828675184212969
143,nielsfr01,Frans,Nielsen,DET,DK,C,0.8196058256184522
144,niskama01,Matt,Niskanen,WSH,US,D,0.8461190752922594
145,nystrer01,Eric,Nystrom,NSH,US,LW,0.7370132184802176
146,oduyajo01,Johnny,Oduya,TOT,SE,D,0.748896849684799
147,okposky01,Kyle,Okposo,BUF,US,RW,0.8475755393124953
148,orpikbr01,Brooks,Orpik,WSH,US,D,0.7594423728717161
149,ottst01,Steve,Ott,TOT,CA,C,0.7061425936191843
150,ovechal01,Alex,Ovechkin,WSH,RU,LW,0.9109425392492312
151,paillda01,Daniel,Paille,NYR,CA,LW,0.6033608850731578
152,parisza01,Zach,Parise,MIN,US,LW,0.8461290673568436
153,paveljo01,Joe,Pavelski,SJS,US,C,0.9062631797581359
154,perroda01,David,Perron,VEG,CA,LW,0.8719086049539282
155,perryco01,Corey,Perry,ANA,CA,RW,0.8540503798202885
156,phanedi01,Dion,Phaneuf,TOT,CA,D,0.805241938023058
157,plekato01,Tomas,Plekanec,TOT,CS,C,0.8143857843250903
158,polakro01,Roman,Polak,TOR,CS,D,0.7705069833676303
159,pominja01,Jason,Pominville,BUF,CA,RW,0.8078728021043907
160,poulibe01,Benoit,Pouliot,BUF,CA,LW,0.7422672120616018
161,purcete01,Teddy,Purcell,LAK,CA,RW,0.7211012664080606
162,quincky01,Kyle,Quincey,MIN,CA,D,0.7218557771579576
163,radulal01,Alexander,Radulov,DAL,RU,RW,0.8847573196668799
164,raymoma01,Mason,Raymond,CGY,CA,LW,0.6728151196569551
165,ribeimi01,Mike,Ribeiro,NSH,CA,C,0.7790369853251415
166,richabr01,Brad,Richards,DET,CA,C,0.7765738653156675
167,richami02,Mike,Richards,WSH,CA,C,0.7246041615616914
168,richabr02,Brad,Richardson,ARI,CA,C,0.7778259569030023
169,rozsimi01,Michal,Rozsival,CHI,CS,D,0.7347555231385046
170,russekr01,Kris,Russell,EDM,CA,D,0.7837525005153916
171,ruututu01,Tuomo,Ruutu,NJD,FI,C,0.6678321445764057
172,ryanbo01,Bobby,Ryan,OTT,US,LW,0.8235635690646533
173,schulni01,Nick,Schultz,PHI,CA,D,0.7321865095921269
174,scudero01,Rob,Scuderi,TOT,US,D,0.7007051512169435
175,seabrbr01,Brent,Seabrook,CHI,CA,D,0.8194544803157864
176,sedinda01,Daniel,Sedin,VAN,SE,LW,0.8239724454702008
177,sedinhe01,Henrik,Sedin,VAN,SE,C,0.8159085050849096
178,seidede01,Dennis,Seidenberg,NYI,DE,D,0.7495809579617865
179,sekeran01,Andrej,Sekera,EDM,CS,D,0.7718889221069378
180,seminal01,Alexander,Semin,MTL,RU,LW,0.7445047782825133
181,sestito01,Tom,Sestito,PIT,US,LW,0.6397750172714937
182,setogde01,Devin,Setoguchi,LAK,CA,RW,0.7596205765232549
183,sharppa01,Patrick,Sharp,CHI,CA,LW,0.7774984872202485
184,skillja01,Jack,Skille,VAN,US,RW,0.7047908343598152
185,smidla01,Ladislav,Smid,CGY,CS,D,0.6547528181973442
186,sobotvl01,Vladimir,Sobotka,STL,CS,C,0.7905481554577989
