First_name,Last_name,Team,Nation,Position,Rating
Josh,Leivo,TOT,CA,LW,0.78287243
Jordie,Benn,MTL,CA,D,0.782852857
Christian,Dvorak,ARI,US,C,0.782726876
Daniel,Carr,MTL,CA,LW,0.782653821
Brian,Boyle,TOT,US,C,0.782491081
Nikita,Zaitsev,TOR,RU,D,0.782484459
Dylan,DeMelo,OTT,CA,D,0.782409663
Nolan,Patrick,PHI,CA,C,0.781980425
Andrew,Cogliano,TOT,CA,LW,0.78194904
Sean,Kuraly,BOS,US,C,0.781854603
Devin,Shore,TOT,CA,C,0.781765565
Dominik,Kahun,CHI,CZ,C,0.781746699
Travis,Dermott,TOR,CA,D,0.781672674
Andy,Greene,NJD,US,D,0.781550652
P.A.,Parenteau,TOT,CA,LW,0.781541602
Matthew,Nieto,COL,US,LW,0.781540851
Ryan,Carpenter,VEG,US,C,0.781490487
Jakub,Vrana,WSH,CZ,LW,0.781421536
Ryan,Kesler,ANA,US,C,0.781364784
Jannik,Hansen,SJS,DK,LW,0.781356252
Mikkel,Boedker,OTT,DK,RW,0.781332594
Ryan,Strome,TOT,CA,C,0.781103718
Alex,Biega,VAN,CA,D,0.780836719
Evan,Rodrigues,BUF,CA,C,0.780775879
Brock,McGinn,CAR,CA,LW,0.78066915
Travis,Sanheim,PHI,CA,D,0.780667358
Colin,Wilson,COL,US,C,0.7803989
Marian,Gaborik,TOT,CS,RW,0.779933695
Joel,Edmundson,STL,CA,D,0.7799119
Jason,Demers,ARI,CA,D,0.779842707
Matt,Calvert,COL,CA,LW,0.779797856
Michal,Kempny,WSH,CS,D,0.779788831
Dennis,Wideman,CGY,CA,D,0.779763707
Ryan,Hartman,TOT,US,RW,0.779491824
Conor,Garland,ARI,US,RW,0.779351183
Tanner,Kero,CHI,US,RW,0.778936876
Miles,Wood,NJD,US,LW,0.778769088
Dan,Girardi,TBL,CA,D,0.778653016
Valtteri,Filppula,NYI,FI,C,0.778637033
Connor,Murphy,CHI,US,D,0.778446517
Anthony,DeAngelo,NYR,US,D,0.778395295
Stephen,Johns,DAL,US,D,0.7783743
Matt,Grzelcyk,BOS,US,D,0.778347543
Leo,Komarov,NYI,RU,C,0.778328404
Scott,Mayfield,NYI,US,D,0.778323386
Scott,Laughton,PHI,CA,C,0.777897386
Matt,Roy,LAK,US,D,0.777481008
Sam,Bennett,CGY,CA,C,0.777409969
Justin,Abdelkader,DET,US,LW,0.77727479
Tim,Heed,SJS,SE,D,0.77725406
Mike,Ribeiro,NSH,CA,C,0.777229107
Olli,Maatta,PIT,FI,D,0.777164007
Jaromir,Jagr,CGY,CS,RW,0.777098954
Andrew,Mangiapane,CGY,CA,LW,0.776974595
Brad,Hunt,TOT,CA,D,0.77695921
Riley,Nash,CBJ,CA,C,0.776887985
Tyler,Pitlick,DAL,US,C,0.776815388
Radim,Vrbata,FLA,CS,RW,0.776728053
Mark,Jankowski,CGY,CA,C,0.776691988
Niklas,Hjalmarsson,ARI,SE,D,0.776493275
Sonny,Milano,CBJ,US,LW,0.775899068
Nikita,Zadorov,COL,RU,D,0.775784076
Drake,Caggiula,TOT,CA,LW,0.77556633
Mark,Letestu,TOT,CA,C,0.775412801
Jared,McCann,TOT,CA,C,0.775403881
Jake,McCabe,BUF,US,D,0.775309372
Sam,Steel,ANA,CA,C,0.77503346
Troy,Stecher,VAN,CA,D,0.775011527
Jordan,Oesterle,ARI,US,D,0.774716441
Deryk,Engelland,VEG,CA,D,0.774704975
Jason,Spezza,DAL,CA,C,0.773921803
Caleb,Jones,EDM,US,D,0.773716536
Niklas,Kronwall,DET,SE,D,0.773538162
Jussi,Jokinen,TOT,FI,C,0.773482169
Oskar,Sundqvist,STL,SE,C,0.77295795
Kris,Russell,EDM,CA,D,0.772783148
Anthony,Beauvillier,NYI,CA,LW,0.772514614
Nikita,Nesterov,TOT,RU,D,0.772417626
Jake,Virtanen,VAN,CA,RW,0.772260182
Joseph,Blandisi,NJD,CA,C,0.772185543
Shane,Doan,ARI,CA,RW,0.772051693
Andre,Burakovsky,WSH,AT,LW,0.771591715
Sean,Walker,LAK,CA,D,0.77130083
Luke,Glendening,DET,US,C,0.77122778
Kevin,Klein,NYR,CA,D,0.770952411
Alex,Chiasson,EDM,CA,RW,0.770907906
Beau,Bennett,NJD,US,RW,0.770630092
Samuel,Girard,COL,CA,D,0.770237258
Jimmy,Vesey,NYR,US,LW,0.770232542
Adam,Clendening,NYR,US,D,0.770086648
Lukas,Radil,SJS,CS,C,0.769981
Brandon,Sutter,VAN,US,C,0.769821155
Cameron,Gaunce,PIT,CA,D,0.769695769
Dean,Kukan,CBJ,CH,D,0.769625775
Noel,Acciari,BOS,US,C,0.768870585
Darren,Helm,DET,CA,C,0.768728951
Lee,Stempniak,CAR,US,RW,0.768511645
Derek,Forbort,LAK,US,D,0.768159072
David,Warsofsky,COL,US,D,0.768151602
Gavin,Bayreuther,DAL,US,D,0.768148519
Radim,Simek,SJS,CS,D,0.768121571
Pavel,Zacha,NJD,CZ,C,0.767775589
Nick,Shore,TOT,US,C,0.767432906
Karl,Stollery,NJD,CA,D,0.767256966
Sven,Andrighetto,COL,CH,RW,0.767192411
Paul,Ladue,LAK,US,D,0.767143105
Jamie,Oleksiak,TOT,CA,D,0.767001778
Barclay,Goodrow,SJS,CA,RW,0.76696319
Mattias,Janmark,DAL,SE,C,0.766943958
Kyle,Clifford,LAK,CA,LW,0.766902872
Antoine,Vermette,ANA,CA,C,0.76689793
Colton,Sceviour,FLA,CA,C,0.766706666
Henri,Jokiharju,CHI,FI,D,0.766560928
Chris,Tanev,VAN,CA,D,0.766531891
Curtis,McKenzie,DAL,CA,LW,0.766126213
Michael,Stone,CGY,CA,D,0.765561569
Nick,Cousins,ARI,CA,C,0.76528448
Ivan,Barbashev,STL,RU,C,0.765203455
Connor,Brown,TOR,CA,RW,0.76502266
Johan,Larsson,BUF,SE,LW,0.764668468
Nick,Jensen,TOT,US,D,0.764415219
Troy,Brouwer,FLA,CA,RW,0.764400891
Greg,Pateryn,MIN,US,D,0.764394356
Francois,Beauchemin,ANA,CA,D,0.764248996
Ryan,Callahan,TBL,US,RW,0.764137901
Scottie,Upshall,STL,CA,LW,0.76409957
Matt,Stajan,CGY,CA,C,0.764069283
Jonathon,Merrill,VEG,US,D,0.763398403
Braydon,Coburn,TBL,CA,D,0.763295756
Zach,Bogosian,BUF,US,D,0.762950956
Adrian,Kempe,LAK,SE,LW,0.762813169
Chris,Butler,STL,US,D,0.762810092
Jarome,Iginla,TOT,CA,RW,0.762589659
Austin,Czarnik,CGY,US,C,0.762334636
Tom,Gilbert,LAK,US,D,0.761972021
Andrew,MacDonald,PHI,CA,D,0.76196521
Dmitrij,Jaskin,WSH,RU,RW,0.761434058
Jay,Bouwmeester,STL,CA,D,0.761427473
Roman,Polak,DAL,CS,D,0.761323185
Matt,Benning,EDM,CA,D,0.761171107
Drake,Batherson,OTT,US,C,0.761136644
Christian,Fischer,ARI,US,RW,0.761125865
Brandon,Carlo,BOS,US,D,0.761032787
Zemgus,Girgensons,BUF,LV,C,0.760801218
Markus,Granlund,VAN,FI,C,0.760269604
Jack,Johnson,PIT,US,D,0.760248407
Brendan,Guhle,BUF,CA,D,0.760161364
Robert,Hagg,PHI,SE,D,0.759986304
Trevor,van Riemsdyk,CAR,US,D,0.759893973
Lucas,Wallmark,CAR,SE,C,0.759732133
Paul,Martin,SJS,US,D,0.759687942
Mark,Borowiecki,OTT,CA,D,0.759607004
Devin,Setoguchi,LAK,CA,RW,0.759603045
Jujhar,Khaira,EDM,CA,LW,0.759530342
Carter,Rowney,ANA,CA,RW,0.759396507
Tim,Schaller,VAN,US,LW,0.759259199
Noah,Juulsen,MTL,CA,D,0.759139958
David,Kampf,CHI,CZ,C,0.758704909
Mark,Pysyk,FLA,CA,D,0.758601399
Chris,Kunitz,CHI,CA,LW,0.758572616
Miikka,Salomaki,NSH,FI,RW,0.758536195
Bogdan,Kiselevich,FLA,RU,D,0.758337496
Stefan,Noesen,NJD,US,RW,0.758226321
Ben,Chiarot,WPG,CA,D,0.75822313
Carl,Gunnarsson,STL,SE,D,0.758111752
Josh,Archibald,ARI,CA,RW,0.758083223
Brendan,Leipsic,TOT,CA,LW,0.758076438
William,Carrier,VEG,CA,LW,0.758056481
Jan,Rutta,TOT,CS,D,0.757874565
John,Moore,BOS,US,D,0.757792231
Matt,Martin,NYI,CA,LW,0.757689974
Trevor,Moore,TOR,US,LW,0.757548869
David,Schlemko,MTL,CA,D,0.757382349
Nikolai,Kulemin,NYI,RU,LW,0.757131008
Joel,Eriksson Ek,MIN,SE,C,0.757125195
Zack,Kassian,EDM,CA,RW,0.757004632
Chris,Terry,MTL,CA,LW,0.756594777
Luke,Kunin,MIN,US,C,0.756571253
Chris,Wideman,TOT,US,D,0.756419736
Austin,Wagner,LAK,CA,LW,0.756327423
Garrett,Wilson,PIT,CA,LW,0.756264163
Thomas,Hickey,NYI,CA,D,0.756140261
